qc_section	project_id	project_code	metric	value
per_project	TCGA-DLBC	DLBC	missingness_arm_loss_count	0
per_project	TCGA-DLBC	DLBC	missingness_total_arm_alteration_count	0
per_project	TCGA-ESCA	ESCA	n_samples	185
per_project	TCGA-ESCA	ESCA	median_purity	0.61
per_project	TCGA-ESCA	ESCA	median_ploidy	2.57
per_project	TCGA-ESCA	ESCA	median_aneuploidy_score	15
per_project	TCGA-ESCA	ESCA	median_fraction_genome_altered	NA
per_project	TCGA-ESCA	ESCA	missingness_purity	0.118918918918919
per_project	TCGA-ESCA	ESCA	missingness_ploidy	0.118918918918919
per_project	TCGA-ESCA	ESCA	missingness_aneuploidy_score	0.118918918918919
per_project	TCGA-ESCA	ESCA	missingness_fraction_genome_altered	1
per_project	TCGA-ESCA	ESCA	missingness_arm_gain_count	0.118918918918919
per_project	TCGA-ESCA	ESCA	missingness_arm_loss_count	0.118918918918919
per_project	TCGA-ESCA	ESCA	missingness_total_arm_alteration_count	0.118918918918919
per_project	TCGA-GBM	GBM	n_samples	403
per_project	TCGA-GBM	GBM	median_purity	0.77
per_project	TCGA-GBM	GBM	median_ploidy	2
per_project	TCGA-GBM	GBM	median_aneuploidy_score	7
per_project	TCGA-GBM	GBM	median_fraction_genome_altered	NA
per_project	TCGA-GBM	GBM	missingness_purity	0.0620347394540943
per_project	TCGA-GBM	GBM	missingness_ploidy	0.0620347394540943
per_project	TCGA-GBM	GBM	missingness_aneuploidy_score	0.054590570719603
per_project	TCGA-GBM	GBM	missingness_fraction_genome_altered	1
per_project	TCGA-GBM	GBM	missingness_arm_gain_count	0.054590570719603
per_project	TCGA-GBM	GBM	missingness_arm_loss_count	0.054590570719603
per_project	TCGA-GBM	GBM	missingness_total_arm_alteration_count	0.054590570719603
per_project	TCGA-HNSC	HNSC	n_samples	509
per_project	TCGA-HNSC	HNSC	median_purity	0.49
per_project	TCGA-HNSC	HNSC	median_ploidy	2.12
per_project	TCGA-HNSC	HNSC	median_aneuploidy_score	10
per_project	TCGA-HNSC	HNSC	median_fraction_genome_altered	NA
per_project	TCGA-HNSC	HNSC	missingness_purity	0.0333988212180747
per_project	TCGA-HNSC	HNSC	missingness_ploidy	0.0333988212180747
per_project	TCGA-HNSC	HNSC	missingness_aneuploidy_score	0.031434184675835
per_project	TCGA-HNSC	HNSC	missingness_fraction_genome_altered	1
per_project	TCGA-HNSC	HNSC	missingness_arm_gain_count	0.031434184675835
per_project	TCGA-HNSC	HNSC	missingness_arm_loss_count	0.031434184675835
per_project	TCGA-HNSC	HNSC	missingness_total_arm_alteration_count	0.031434184675835
per_project	TCGA-KICH	KICH	n_samples	66
per_project	TCGA-KICH	KICH	median_purity	0.86
per_project	TCGA-KICH	KICH	median_ploidy	1.63
per_project	TCGA-KICH	KICH	median_aneuploidy_score	14
per_project	TCGA-KICH	KICH	median_fraction_genome_altered	NA
per_project	TCGA-KICH	KICH	missingness_purity	0.0757575757575758
per_project	TCGA-KICH	KICH	missingness_ploidy	0.0757575757575758
per_project	TCGA-KICH	KICH	missingness_aneuploidy_score	0.0151515151515152
per_project	TCGA-KICH	KICH	missingness_fraction_genome_altered	1
per_project	TCGA-KICH	KICH	missingness_arm_gain_count	0.0151515151515152
per_project	TCGA-KICH	KICH	missingness_arm_loss_count	0.0151515151515152
per_project	TCGA-KICH	KICH	missingness_total_arm_alteration_count	0.0151515151515152
per_project	TCGA-KIRC	KIRC	n_samples	370
per_project	TCGA-KIRC	KIRC	median_purity	0.56
per_project	TCGA-KIRC	KIRC	median_ploidy	1.99
per_project	TCGA-KIRC	KIRC	median_aneuploidy_score	4
per_project	TCGA-KIRC	KIRC	median_fraction_genome_altered	NA
